hour,walkin_demand,walkin_demand_std,driveThru_demand,driveThru_demand_std,total_demand,total_demand_std,happiness_rate,happiness_rate_std,avg_wait_walkin,avg_wait_walkin_std,avg_wait_driveThru,avg_wait_driveThru_std,current_price,staff_count,revenue,revenue_std,staff_cost,promotion_cost,profit,profit_std,strategy,repetitions
2,15.466666666666667,4.7730726185783325,25.666666666666668,5.629288488689213,41.13333333333333,7.278888804084194,0.9951770451770453,0.021704048009609386,0.3314184462400702,0.6179448612496128,0.3490458078539864,0.46444439901286033,10.0,6.0,411.3333333333333,72.78888804084193,90.0,0.0,321.3333333333333,72.78888804084193,baseline,30
3,15.433333333333334,3.1799720473963635,26.7,4.8727131388307,42.13333333333333,5.264556539306569,0.9883756512638501,0.040201735998992995,0.4111658815781884,0.5288756475306994,0.3312832018162182,0.4469133568834756,10.0,6.0,421.3333333333333,52.64556539306568,90.0,0.0,331.3333333333333,52.64556539306568,baseline,30
4,15.5,3.3739195801520423,26.633333333333333,4.7009455313680135,42.13333333333333,5.619806244188693,0.9933191536082379,0.01768944066227156,0.3343056557259199,0.539128041643341,0.5104596643953797,0.833163219681839,10.0,6.0,421.3333333333333,56.198062441886925,90.0,0.0,331.3333333333333,56.198062441886925,baseline,30
5,17.033333333333335,3.2607088527223986,25.4,6.6211781428987395,42.43333333333333,7.97363711795871,0.9888363114426945,0.03627241039208096,0.27134585395443,0.41631948590424234,0.2943846770572437,0.38696633374817935,10.0,6.0,424.3333333333333,79.73637117958711,90.0,0.0,334.3333333333333,79.73637117958711,baseline,30
6,17.866666666666667,6.0207050159336735,26.666666666666668,5.242984730941802,44.53333333333333,8.682293603779028,0.9870248479073854,0.030454958248413027,0.5903180711496779,0.8720265952136634,0.47999744613765233,0.7260456694851467,10.0,6.0,445.3333333333333,86.82293603779029,90.0,0.0,355.3333333333333,86.82293603779029,baseline,30
7,17.633333333333333,3.6467641668867055,27.666666666666668,5.048652185374715,45.3,5.586591089385369,0.996327485380117,0.014282823335755755,0.5359282686334291,0.6605846069781361,0.6892651891766242,1.0118916706705998,10.0,6.0,453.0,55.86591089385369,90.0,0.0,363.0,55.86591089385369,baseline,30
8,16.2,3.691431519975234,24.4,5.050412524404978,40.6,6.631239200431043,0.9904978243738651,0.028830004895520667,0.31914927923695496,0.48040335365307485,0.24558339756531583,0.3793908024437441,10.0,6.0,406.0,66.31239200431042,90.0,0.0,316.0,66.31239200431042,baseline,30
9,15.966666666666667,5.344675439683456,26.5,6.7069615574664905,42.46666666666667,8.75493511620097,0.9943054357204487,0.021914538489676755,0.3554162154401003,0.5276858688122208,0.41511524605994493,0.6078846458740467,10.0,6.0,424.6666666666667,87.5493511620097,90.0,0.0,334.6666666666667,87.5493511620097,baseline,30
10,15.466666666666667,3.9642849992849345,26.666666666666668,7.15231120376872,42.13333333333333,8.751126911559576,0.9921614268595285,0.019517994230575538,0.4291526581413423,0.7985131563751944,0.3877646550710887,0.8742674578558948,10.0,6.0,421.3333333333333,87.51126911559575,90.0,0.0,331.3333333333333,87.51126911559575,baseline,30
11,16.866666666666667,4.425180473406957,25.6,4.608687448721165,42.46666666666667,6.453595036015886,0.9945822300551427,0.019597895157206814,0.3572466543591081,0.47579078720094187,0.3331429750590756,0.43180242866468355,10.0,6.0,424.6666666666667,64.53595036015886,90.0,0.0,334.6666666666667,64.53595036015886,baseline,30
